SN,Date,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total.Afl,Source
46,,,2016,Kaduna,Lere,Lere,Haiakali,10.3853,8.5735,Maize,ARDS002C,,,NA,NA,NA,NA,1,AgResults Control Samples
74,,,2017,Kaduna,,Lere,,10.3853,8.5735,Maize,ARDS003C,,,NA,NA,NA,NA,0.8,Dal-Allgreen - Kaduna State
47,,,2016,Kaduna,Lere,Lere,Haiakali,10.3853,8.5735,Maize,ARDS003C,,,NA,NA,NA,NA,0.8,AgResults Control Samples
75,,,2017,Kaduna,,Lere,,10.3853,8.5735,Maize,ARDS004C,,,NA,NA,NA,NA,1.1,Dal-Allgreen - Kaduna State
48,,,2016,Kaduna,Lere,Lere,Sabon Kuara,10.3853,8.5735,Maize,ARDS004C,,,NA,NA,NA,NA,1.1,AgResults Control Samples
76,,,2017,Kaduna,,Lere,,10.3853,8.5735,Maize,ARDS005C,,,NA,NA,NA,NA,1.1,Dal-Allgreen - Kaduna State
49,,,2016,Kaduna,Lere,Lere,Sabon Kuara,10.3853,8.5735,Maize,ARDS005C,,,NA,NA,NA,NA,1.1,AgResults Control Samples
77,,,2017,Kaduna,,Lere,,10.3853,8.5735,Maize,ARDS006C,,,NA,NA,NA,NA,0.7,Dal-Allgreen - Kaduna State
50,,,2016,Kaduna,Lere,Lere,Ungwa Goge,10.3853,8.5735,Maize,ARDS006C,,,NA,NA,NA,NA,0.7,AgResults Control Samples
78,,,2017,Kaduna,,Lere,,10.3853,8.5735,Maize,ARDS007C,,,NA,NA,NA,NA,0.9,Dal-Allgreen - Kaduna State
51,,,2016,Kaduna,Lere,Lere,Ungwa Goge,10.3853,8.5735,Maize,ARDS007C,,,NA,NA,NA,NA,0.9,AgResults Control Samples
27,,,2017,Ekiti,,Ado Ekiti,,7.6124,5.2371,Maize,ARFP0751C,,,NA,NA,NA,NA,0.9,Ado Poly Venture - Ekiti State
59,,,2016,Ekiti,Ado Ekiti,Ado Ekiti,Ado Ekiti,7.6124,5.2371,Maize,ARFP0751C,,,NA,NA,NA,NA,0.9,AgResults Control Samples
11,,,2017,Kaduna,,Hunkunyi,,11.2659,7.648,Maize,ARKD001C,,,NA,NA,NA,NA,1.7,CADP Kaduna - Kaduna State
52,,,2016,Kaduna,Hunkunyi,Hunkunyi,Chande,11.2659,7.648,Maize,ARKD001C,,,NA,NA,NA,NA,1.7,AgResults Control Samples
12,,,2017,Kaduna,,Hunkunyi,,11.2659,7.648,Maize,ARKD002C,,,NA,NA,NA,NA,2.1,CADP Kaduna - Kaduna State
53,,,2016,Kaduna,Hunkunyi,Hunkunyi,Chande,11.2659,7.648,Maize,ARKD002C,,,NA,NA,NA,NA,2.1,AgResults Control Samples
13,,,2017,Kaduna,,Hunkunyi,,11.2659,7.648,Maize,ARKD003C,,,NA,NA,NA,NA,1.2,CADP Kaduna - Kaduna State
54,,,2016,Kaduna,Hunkunyi,Hunkunyi,Chande,11.2659,7.648,Maize,ARKD003C,,,NA,NA,NA,NA,1.2,AgResults Control Samples
14,,,2017,Kaduna,,Hunkunyi,,11.2659,7.648,Maize,ARKD004C,,,NA,NA,NA,NA,1.1,CADP Kaduna - Kaduna State
55,,,2016,Kaduna,Hunkunyi,Hunkunyi,Chande,11.2659,7.648,Maize,ARKD004C,,,NA,NA,NA,NA,1.1,AgResults Control Samples
15,,,2017,Kaduna,,Zaria,,11.1047,7.7207,Maize,ARKD005C,,,NA,NA,NA,NA,1.2,CADP Kaduna - Kaduna State
56,,,2016,Kaduna,Zaria,Zaria,Gamji,11.1047,7.7207,Maize,ARKD005C,,,NA,NA,NA,NA,1.2,AgResults Control Samples
16,,,2017,Kaduna,,Zaria,,11.1047,7.7207,Maize,ARKD006C,,,NA,NA,NA,NA,1.1,CADP Kaduna - Kaduna State
57,,,2016,Kaduna,Zaria,Zaria,Gamji,11.1047,7.7207,Maize,ARKD006C,,,NA,NA,NA,NA,1.1,AgResults Control Samples
17,,,2017,Kano,,Gwarzo,,11.9171,7.9348,Maize,ARKN001C,,,NA,NA,NA,NA,1.1,CADP Kano - Kano State
99,,,2016,Kano,Gwarzo,Gwarzo,Kutama,11.9171,7.9348,Maize,ARKN001C,,,NA,NA,NA,NA,1.1,AgResults Control Samples
18,,,2017,Kano,,Gwarzo,,11.9171,7.9348,Maize,ARKN002C,,,NA,NA,NA,NA,1.2,CADP Kano - Kano State
100,,,2016,Kano,Gwarzo,Gwarzo,Kutama,11.9171,7.9348,Maize,ARKN002C,,,NA,NA,NA,NA,1.2,AgResults Control Samples
19,,,2017,Kano,,Gwarzo,,11.9171,7.9348,Maize,ARKN003C,,,NA,NA,NA,NA,0.6,CADP Kano - Kano State
101,,,2016,Kano,Gwarzo,Gwarzo,Kutama,11.9171,7.9348,Maize,ARKN003C,,,NA,NA,NA,NA,0.6,AgResults Control Samples
20,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARKN004C,,,NA,NA,NA,NA,1.3,CADP Kano - Kano State
102,,,2016,Kano,Rogo,Rogo,Zoza,11.5501,7.8232,Maize,ARKN004C,,,NA,NA,NA,NA,1.3,AgResults Control Samples
21,,,2017,Kano,,Rogo,,11.5501,7.8232,Maize,ARKN005C,,,NA,NA,NA,NA,0.8,CADP Kano - Kano State
103,,,2016,Kano,Rogo,Rogo,Zoza,11.5501,7.8232,Maize,ARKN005C,,,NA,NA,NA,NA,0.8,AgResults Control Samples
