"SN","Date","AEZ1","Year","State","LGA","Location","Village","Lat","Long","Crop","Code","Type","Treatment","B1","B2","G1","G2","Total.Afl","Source"
NA,"","SS",2024,"Yobe","","","",12.6927,10.308,"Maize","Kirikisamma2","Store","",0.35,0.07,0.27,0,0.7,""
NA,"","SHS",2024,"Yobe","","","",12.693,10.308,"","Kirikisamma3","Market","",0.33,0.3,0,0.13,0.77,""
NA,"","SS",2024,"Yobe","","","",12.6927,10.308,"Maize","Kirikisamma3","Market","",0.33,0.3,0,0.13,0.77,""
3,"","",2017,"Oyo","","Saki","",8.6726,3.3943,"Maize","SA01C","","",NA,NA,NA,NA,93.1,"Agbelere Integrated Farms - Oyo & Osun States"
3,"","",2016,"Oyo","Saki West","Saki","Saki",8.6033,3.1378,"Maize","SA01C","","",NA,NA,NA,NA,93.1,"AgResults Control Samples"
4,"","",2017,"Oyo","","Saki","",8.6726,3.3943,"Maize","SA02C","","",NA,NA,NA,NA,0.5,"Agbelere Integrated Farms - Oyo & Osun States"
4,"","",2016,"Oyo","Saki West","Saki","Saki",8.6033,3.1378,"Maize","SA02C","","",NA,NA,NA,NA,0.5,"AgResults Control Samples"
5,"","",2017,"Oyo","","Saki","",8.6726,3.3943,"Maize","SA03C","","",NA,NA,NA,NA,0.1,"Agbelere Integrated Farms - Oyo & Osun States"
5,"","",2016,"Oyo","Saki West","Saki","Saki",8.6033,3.1378,"Maize","SA03C","","",NA,NA,NA,NA,0.1,"AgResults Control Samples"
6,"","",2017,"Oyo","","Saki","",8.6726,3.3943,"Maize","SA04C","","",NA,NA,NA,NA,52.8,"Agbelere Integrated Farms - Oyo & Osun States"
6,"","",2016,"Oyo","Saki West","Saki","Saki",8.6033,3.1378,"Maize","SA04C","","",NA,NA,NA,NA,52.8,"AgResults Control Samples"
