SN,Date ,AEZ1,Year,State,LGA,Location,Village,Lat,Long,Crop,Code,Type,Treatment,B1,B2,G1,G2,Total-Afl,Source
624,23-Feb-12,,2012,Borno,Gubio,,,12.4955,12.7796,Maize,BR1222M,,,8.11,2.82,7.37,0,18.3,NAFDAC Market Survey Sample 2012
625,23-Feb-12,,2012,Borno,Marte,,,12.3641,13.8277,Maize,BR1223M,,,3.37,2.02,0,0,5.39,NAFDAC Market Survey Sample 2012
626,23-Feb-12,,2012,Borno,Chibok,,,10.8692,12.8471,Maize,BR1224M,,,2.12,7.76,0,0,9.88,NAFDAC Market Survey Sample 2012
627,23-Feb-12,,2012,Borno,Mobbar,,,13.133,12.7135,Maize,BR1225M,,,1.54,3.43,0,0,4.97,NAFDAC Market Survey Sample 2012
628,23-Feb-12,,2012,Borno,Monguno,,,12.6729,13.616,Maize,BR1226M,,,6.96,1.26,3.93,0,12.15,NAFDAC Market Survey Sample 2012
629,23-Feb-12,,2012,Borno,Jere,,,9.5684,7.4354,Maize,BR1227M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
630,23-Feb-12,,2012,Borno,Ngala,,,12.3421,14.1858,Maize,BR1228M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
631,23-Feb-12,,2012,Borno,Dikwa,,,12.042,13.9173,Maize,BR1229M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
632,23-Feb-12,,2012,Borno,Gwoza,,,11.0897,13.6884,Maize,BR1230M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
633,23-Feb-12,,2012,Borno,Dikwa,,,12.042,13.9173,Maize,BR1231M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
634,23-Feb-12,,2012,Borno,Gwoza,,,11.0897,13.6884,Maize,BR1232M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
635,23-Feb-12,,2012,Borno,Kukawa,,,12.923,13.5639,Maize,BR1233M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
636,23-Feb-12,,2012,Borno,Jere,,,9.5684,7.4354,Maize,BR1234M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
637,23-Feb-12,,2012,Borno,Dikwa,,,12.042,13.9173,Maize,BR1235M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
638,23-Feb-12,,2012,Borno,Biu,,,10.6117,12.1919,Maize,BR1236M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
639,23-Feb-12,,2012,Borno,Kaga,,,11.5246,12.5298,Maize,BR1237M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
640,23-Feb-12,,2012,Borno,Askira/Uba,,,10.6563,13.1279,Maize,BR1238M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
641,23-Feb-12,,2012,Borno,Monguno,,,12.6729,13.616,Maize,BR1239M,,,2.99,0,0,0,2.99,NAFDAC Market Survey Sample 2012
642,23-Feb-12,,2012,Borno,Biu,,,10.6117,12.1919,Maize,BR1240M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
643,23-Feb-12,,2012,Borno,Damboa,,,11.1561,12.7566,Maize,BR1241M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
779,01-Mar-12,,2012,Delta,Oshimili South,,,6.0698,6.6211,Maize,DT1557M,,,47.53,1.41,0,0,48.94,NAFDAC Market Survey Sample 2012
780,01-Mar-12,,2012,Delta,Uvwie,,,5.565,5.7827,Maize,DT1558M,,,16.01,0.78,0,0,16.79,NAFDAC Market Survey Sample 2012
781,01-Mar-12,,2012,Delta,Ughelli North,,,5.6558,6.1103,Maize,DT1559M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
782,01-Mar-12,,2012,Delta,Warri North,,,5.9593,5.1432,Maize,DT1560M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
783,01-Mar-12,,2012,Delta,Oshimili North,,,6.4077,6.6211,Maize,DT1561M,,,81.48,1.49,4.8,0.43,88.2,NAFDAC Market Survey Sample 2012
784,01-Mar-12,,2012,Delta,Uvwie,,,5.565,5.7827,Maize,DT1562M,,,15.77,2.87,0,0,18.64,NAFDAC Market Survey Sample 2012
785,01-Mar-12,,2012,Delta,Isoko South,,,5.4043,6.1951,Maize,DT1563M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
786,01-Mar-12,,2012,Delta,Sapele,,,5.8751,5.6931,Maize,DT1564M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
787,01-Mar-12,,2012,Delta,Warri South West,,,5.5787,5.4359,Maize,DT1565M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
788,01-Mar-12,,2012,Delta,Ethiope West,,,5.9323,5.751,Maize,DT1566M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
789,01-Mar-12,,2012,Delta,Sapele,,,5.8751,5.6931,Maize,DT1567M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
790,01-Mar-12,,2012,Delta,Isoko North,,,5.5919,6.2164,Maize,DT1568M,,,1.1,0.65,0,0,1.75,NAFDAC Market Survey Sample 2012
791,01-Mar-12,,2012,Delta,Warri South,,,5.6609,5.6037,Maize,DT1569M,,,1.83,1.12,1.89,0,4.84,NAFDAC Market Survey Sample 2012
792,01-Mar-12,,2012,Delta,Udu,,,5.4704,5.8354,Maize,DT1570M,,,6.98,0,0,0,6.98,NAFDAC Market Survey Sample 2012
793,01-Mar-12,,2012,Delta,Udu,,,5.4704,5.8354,Maize,DT1571M,,,1.73,0,0,0,1.73,NAFDAC Market Survey Sample 2012
794,01-Mar-12,,2012,Delta,Warri South West,,,5.5787,5.4359,Maize,DT1572M,,,8.69,3.12,1.5,0.53,13.84,NAFDAC Market Survey Sample 2012
795,01-Mar-12,,2012,Delta,Warri North,,,5.9593,5.1432,Maize,DT1573M,,,5.53,1.76,0,0,7.29,NAFDAC Market Survey Sample 2012
796,01-Mar-12,,2012,Delta,Warri North,,,5.9593,5.1432,Maize,DT1574M,,,0,0,0,0,0,NAFDAC Market Survey Sample 2012
797,01-Mar-12,,2012,Delta,Ndokwa West,,,5.7368,6.3652,Maize,DT1575M,,,1.07,0,0,0,1.07,NAFDAC Market Survey Sample 2012
798,01-Mar-12,,2012,Delta,Oshimili South,,,6.0698,6.6211,Maize,DT1576M,,,4.75,1.13,0,0,5.88,NAFDAC Market Survey Sample 2012
