"Sample_ID","Year","AEZ","State","Lat","Long","B1","B2","G1","G2","afl_max","afl_mean","afl_median","n_samples","other_coordinates_in_grid","other_aflatoxins_in_grid","Location_Type","Source"
"Potiskum1",2024,"SS","Yobe",11.7,11.08,29.48,2.06,0,0,31.55,10.6366666666667,0.36,3,"Potiskum2: 11.7, 11.08; Potiskum3: 11.7, 11.08","Potiskum2: B1=0,B2=0,G1=0,G2=0; Potiskum3: B1=0.18,B2=0,G1=0,G2=0.17","Farm",""
"Sabon Birni1",2024,"SS","Kebbi",12.25,4.13,2.76,0.11,22.26,0.11,25.24,8.61666666666667,0.41,3,"Sabon Birni2: 12.25, 4.13; Sabon Birni3: 12.25, 4.13","Sabon Birni2: B1=0.41,B2=0,G1=0,G2=0; Sabon Birni3: B1=0.2,B2=0,G1=0,G2=0","Farm",""
"Shagari1",2024,"SS","Kebbi",12.37,4.59,14.09,0.88,12.45,0.76,28.19,16.5566666666667,18.82,3,"Shagari2: 12.37, 4.59; Shagari3: 12.37, 4.59","Shagari2: B1=1.35,B2=0.12,G1=1.06,G2=0.11; Shagari3: B1=6.64,B2=0.55,G1=10.6,G2=1.01","Farm",""
"Kirikisamma1",2024,"SH","Jigawa",12.693,10.308,0,0.2,0,0,0.77,0.556666666666667,0.7,6,"Kirikisamma1: 12.693, 10.308; Kirikisamma2: 12.693, 10.308; Kirikisamma2: 12.693, 10.308; Kirikisamma3: 12.693, 10.308; Kirikisamma3: 12.693, 10.308","Kirikisamma1: B1=0,B2=0.2,G1=0,G2=0; Kirikisamma2: B1=0.35,B2=0.07,G1=0.27,G2=0; Kirikisamma2: B1=0.35,B2=0.07,G1=0.27,G2=0; Kirikisamma3: B1=0.33,B2=0.3,G1=0,G2=0.13; Kirikisamma3: B1=0.33,B2=0.3,G1=0,G2=0.13","Farm",""
"Kangiwa1",2024,"SS","Jigawa",12.65,9.08,103.55,5.82,1.7,0.12,111.21,72.5766666666667,102.02,3,"Kangiwa2: 12.65, 9.08; Kangiwa3: 12.65, 9.08","Kangiwa2: B1=73.01,B2=4.22,G1=23.87,G2=0.91; Kangiwa3: B1=3.95,B2=0.54,G1=0,G2=0","Store",""
"Guri1",2024,"SS","Zamfara",12.728,7,7.1,0.68,12.37,1.09,23.32,15.4466666666667,21.26,6,"Guri1: 12.728, 7; Guri2: 12.728, 7; Guri2: 12.728, 7; Guri3: 12.728, 7; Guri3: 12.728, 7","Guri1: B1=7.1,B2=0.68,G1=12.37,G2=1.09; Guri2: B1=0.72,B2=0.1,G1=0.81,G2=0.11; Guri2: B1=0.72,B2=0.1,G1=0.81,G2=0.11; Guri3: B1=22.8,B2=0.5,G1=0,G2=0; Guri3: B1=22.8,B2=0.5,G1=0,G2=0","Market",""
"Baure1",2024,"SS","Katsina",12.98,7.62,39.3,1.27,7.84,0.32,175.36,115.163333333333,121.38,3,"Baure2: 12.98, 7.62; Baure3: 12.98, 7.62","Baure2: B1=169.37,B2=5.56,G1=0,G2=0.42; Baure3: B1=69.16,B2=2.71,G1=48.19,G2=1.3","Farm",""
"Bonny1",2024,"HF","Rivers",4.4,7.14,0.21,0,0,0,20.92,12.9566666666667,17.74,3,"Bonny2: 4.4, 7.14; Bonny3: 4.4, 7.14","Bonny2: B1=20.67,B2=0.09,G1=0,G2=0.14; Bonny3: B1=16.78,B2=0.18,G1=0.56,G2=0.2","Farm",""
"Abonema1",2024,"HF","Rivers",4.7,7,16.8,0.11,0,0.19,25.91,15.91,17.11,3,"Abonema2: 4.7, 7; Abonema3: 4.7, 7","Abonema2: B1=25.25,B2=0.19,G1=0.35,G2=0.09; Abonema3: B1=4.43,B2=0.08,G1=0,G2=0.18","Market",""
"Abraka1",2024,"HF","Delta",5.32,6.12,0.22,0,0,0.18,0.7,0.526666666666667,0.46,3,"Abraka2: 5.32, 6.12; Abraka3: 5.32, 6.12","Abraka2: B1=0.23,B2=0,G1=0,G2=0.22; Abraka3: B1=0.23,B2=0,G1=0.45,G2=0","Farm",""
"Agbor1",2024,"HF","Delta",6.23,6.15,0,0,0,0.14,15.7,9.08333333333333,11.41,3,"Agbor2: 6.23, 6.15; Agbor3: 6.23, 6.15","Agbor2: B1=15.37,B2=0.09,G1=0,G2=0.23; Agbor3: B1=10.99,B2=0.19,G1=0,G2=0.21","Farm",""
"Bassa1",2024,"DS","Kogi",7.9,7.05,56.29,8.29,3.02,0.17,67.78,38.49,39.32,3,"Bassa2: 7.9, 7.05; Bassa3: 7.9, 7.05","Bassa2: B1=15.06,B2=1.75,G1=20.19,G2=2.31; Bassa3: B1=6.19,B2=0.47,G1=1.7,G2=0","Farm",""
"Ogbomosho1",2024,"DS","Oyo",8.13,4.13,0.33,0,0,0,230.2,76.9233333333333,0.33,3,"Ogbomosho2: 8.13, 4.13; Ogbomosho3: 8.13, 4.13","Ogbomosho2: B1=0.24,B2=0,G1=0,G2=0; Ogbomosho3: B1=221.35,B2=6.55,G1=2.29,G2=0","Farm",""
"Shaki1",2024,"DS","Oyo",8.41,3.42,0.16,0,0,0,7.68,4.21333333333333,4.8,3,"Shaki2: 8.41, 3.42; Shaki3: 8.41, 3.42","Shaki2: B1=6.98,B2=0.37,G1=0.32,G2=0; Shaki3: B1=3.59,B2=0.17,G1=0.92,G2=0.11","Farm",""
"Baruten1",2024,"DS","Oyo",8.54,3.25,0,0,0,0,137.08,66.8466666666667,63.46,3,"Baruten2: 8.54, 3.25; Baruten3: 8.54, 3.25","Baruten2: B1=129.94,B2=5.88,G1=0.65,G2=0.59; Baruten3: B1=60.3,B2=2.29,G1=0.42,G2=0.44","Store",""
"Patigi1",2024,"DS","Kwara",8.73,5.76,0,0,0,0.12,356.16,178.32,178.68,3,"Patigi2: 8.73, 5.76; Patigi3: 8.73, 5.76","Patigi2: B1=353.75,B2=1.79,G1=0.6,G2=0; Patigi3: B1=167.25,B2=9.36,G1=1.89,G2=0.16","Farm",""
"Lantang1",2024,"SGS","Plateau",9.14,9.79,0,0,0,0.2,0.29,0.24,0.23,3,"Lantang2: 9.14, 9.79; Lantang3: 9.14, 9.79","Lantang2: B1=0,B2=0,G1=0,G2=0.23; Lantang3: B1=0,B2=0,G1=0,G2=0.29","Store",""
"Wase1",2024,"SGS","Plateau",9.094,9.956,0,0,0,0,69.26,23.0866666666667,0,3,"Wase2: 9.094, 9.956; Wase3: 9.094, 9.956","Wase2: B1=68.16,B2=0.54,G1=0,G2=0.54; Wase3: B1=0,B2=0,G1=0,G2=0","Farm",""
"Minna1",2024,"SGS","Niger",9.62,6.53,30.89,2.78,0,0.17,200.51,66.7566666666667,49.36,6,"Minna2: 9.62, 6.53; Minna3: 9.62, 6.53; Mokwa1: 9.62, 6.53; Mokwa2: 9.62, 6.53; Mokwa3: 9.62, 6.53","Minna2: B1=42.95,B2=1.92,G1=0,G2=0.46; Minna3: B1=50.2,B2=2.3,G1=0.57,G2=0.29; Mokwa1: B1=0,B2=0,G1=0,G2=0.23; Mokwa2: B1=196.73,B2=2.27,G1=0,G2=1.49; Mokwa3: B1=62.94,B2=3.78,G1=0,G2=0.48","Farm",""
"Riyom1",2024,"MA","Plateau",9.62,8.77,2.18,0.11,0,0.2,2.5,0.833333333333333,0,3,"Riyom2: 9.62, 8.77; Riyom3: 9.62, 8.77","Riyom2: B1=0,B2=0,G1=0,G2=0; Riyom3: B1=0,B2=0,G1=0,G2=0","Farm",""
