"Sample_ID","Year","AEZ","State","Lat","Long","B1","B2","G1","G2","afl_max","afl_mean","afl_median","n_samples","other_coordinates_in_grid","other_aflatoxins_in_grid","Location_Type","Source"
"ARKPCM0001",2018,"DS","Taraba",7.9994,10.774,0,0,0,14,28,16.3529411764706,16,17,"ARKPCM0021: 7.999, 10.774; ARKPCM0041: 7.999, 10.774; ARKPCM0061: 7.999, 10.774; ARKPCM0081: 7.999, 10.774; ARKPCM0101: 7.999, 10.774; ARKPCM0121: 7.999, 10.774; ARKPCM0141: 7.999, 10.774; ARKPCM0161: 7.999, 10.774; ARKPCM0181: 7.999, 10.774; ARKPCM0201: 7.999, 10.774; ARKPCM0221: 7.999, 10.774; ARKPCM0241: 7.999, 10.774; ARKPCM0261: 7.999, 10.774; ARKPCM0281: 7.999, 10.774; ARKPCM0301: 7.999, 10.774; ARKPCM0321: 7.999, 10.774","ARKPCM0021: B1=0,B2=0,G1=0,G2=21; ARKPCM0041: B1=0,B2=0,G1=0,G2=25; ARKPCM0061: B1=0,B2=0,G1=0,G2=20; ARKPCM0081: B1=0,B2=0,G1=0,G2=26; ARKPCM0101: B1=0,B2=0,G1=0,G2=28; ARKPCM0121: B1=0,B2=0,G1=0,G2=16; ARKPCM0141: B1=0,B2=0,G1=0,G2=11; ARKPCM0161: B1=0,B2=0,G1=0,G2=15; ARKPCM0181: B1=0,B2=0,G1=0,G2=13; ARKPCM0201: B1=0,B2=0,G1=0,G2=18; ARKPCM0221: B1=0,B2=0,G1=0,G2=18; ARKPCM0241: B1=0,B2=0,G1=0,G2=11; ARKPCM0261: B1=0,B2=0,G1=0,G2=0; ARKPCM0281: B1=0,B2=0,G1=0,G2=16; ARKPCM0301: B1=0,B2=0,G1=0,G2=16; ARKPCM0321: B1=0,B2=0,G1=0,G2=10","","Kiffco Project"
"ARWFCM01",2018,"DS","Kogi",7.976,6.714,0,0,0,0,517,27.7450980392157,6,51,"ARWFCM02: 7.976, 6.714; ARWFCM03: 7.976, 6.714; ARWFCM04: 7.976, 6.714; ARWFCM05: 7.976, 6.714; ARWFCM06: 7.976, 6.714; ARWFCM07: 7.976, 6.714; ARWFCM08: 7.976, 6.714; ARWFCM09: 7.976, 6.714; ARWFCM10: 7.976, 6.714; ARWFCM11: 7.976, 6.714; ARWFCM12: 7.976, 6.714; ARWFCM13: 7.976, 6.714; ARWFCM14: 7.976, 6.714; ARWFCM15: 7.976, 6.714; ARWFCM16: 7.976, 6.714; ARWFCM17: 7.976, 6.714; ARWFCM18: 7.976, 6.714; ARWFCM19: 7.976, 6.714; ARWFCM20: 7.976, 6.714; ARWFCM21: 7.976, 6.714; ARWFCM22: 7.976, 6.714; ARWFCM23: 7.976, 6.714; ARWFCM24: 7.976, 6.714; ARWFCM25: 7.976, 6.714; ARWFCM26: 7.976, 6.714; ARWFCM27: 7.976, 6.714; ARWFCM28: 7.976, 6.714; ARWFCM29: 7.976, 6.714; ARWFCM30: 7.976, 6.714; ARWFCM31: 7.976, 6.714; ARWFCM32: 7.976, 6.714; ARWFCM33: 7.976, 6.714; ARWFCM34: 7.976, 6.714; ARWFCM35: 7.976, 6.714; ARWFCM36: 7.976, 6.714; ARWFCM37: 7.976, 6.714; ARWFCM38: 7.976, 6.714; ARWFCM39: 7.976, 6.714; ARWFCM40: 7.976, 6.714; ARWFCM41: 7.976, 6.714; ARWFCM42: 7.976, 6.714; ARWFCM43: 7.976, 6.714; ARWFCM44: 7.976, 6.714; ARWFCM45: 7.976, 6.714; ARWFCM46: 7.976, 6.714; ARWFCM47: 7.976, 6.714; ARWFCM48: 7.976, 6.714; ARWFCM49: 7.976, 6.714; ARWFCM50: 7.976, 6.714; ARWFCM51: 7.976, 6.714","ARWFCM02: B1=0,B2=0,G1=0,G2=0; ARWFCM03: B1=0,B2=0,G1=0,G2=0; ARWFCM04: B1=23,B2=0,G1=0,G2=37; ARWFCM05: B1=0,B2=0,G1=0,G2=10; ARWFCM06: B1=0,B2=0,G1=0,G2=8; ARWFCM07: B1=46,B2=0,G1=0,G2=62; ARWFCM08: B1=0,B2=0,G1=0,G2=15; ARWFCM09: B1=0,B2=0,G1=0,G2=0; ARWFCM10: B1=27,B2=0,G1=0,G2=47; ARWFCM11: B1=0,B2=0,G1=0,G2=0; ARWFCM12: B1=0,B2=0,G1=0,G2=0; ARWFCM13: B1=0,B2=0,G1=0,G2=0; ARWFCM14: B1=0,B2=0,G1=0,G2=12; ARWFCM15: B1=6,B2=0,G1=0,G2=13; ARWFCM16: B1=0,B2=0,G1=0,G2=10; ARWFCM17: B1=0,B2=0,G1=0,G2=0; ARWFCM18: B1=0,B2=0,G1=0,G2=6; ARWFCM19: B1=24,B2=0,G1=0,G2=44; ARWFCM20: B1=0,B2=0,G1=0,G2=0; ARWFCM21: B1=0,B2=0,G1=0,G2=0; ARWFCM22: B1=0,B2=0,G1=0,G2=0; ARWFCM23: B1=0,B2=0,G1=0,G2=0; ARWFCM24: B1=0,B2=0,G1=0,G2=0; ARWFCM25: B1=0,B2=0,G1=0,G2=14; ARWFCM26: B1=32,B2=0,G1=0,G2=39; ARWFCM27: B1=0,B2=0,G1=0,G2=6; ARWFCM28: B1=0,B2=0,G1=0,G2=9; ARWFCM29: B1=0,B2=0,G1=0,G2=6; ARWFCM30: B1=15,B2=0,G1=0,G2=169; ARWFCM31: B1=0,B2=0,G1=0,G2=0; ARWFCM32: B1=0,B2=0,G1=0,G2=0; ARWFCM33: B1=0,B2=0,G1=0,G2=0; ARWFCM34: B1=15,B2=141,G1=28,G2=333; ARWFCM35: B1=0,B2=0,G1=0,G2=0; ARWFCM36: B1=0,B2=0,G1=0,G2=24; ARWFCM37: B1=0,B2=0,G1=0,G2=13; ARWFCM38: B1=0,B2=0,G1=0,G2=12; ARWFCM39: B1=0,B2=0,G1=0,G2=0; ARWFCM40: B1=0,B2=0,G1=0,G2=0; ARWFCM41: B1=0,B2=0,G1=0,G2=0; ARWFCM42: B1=0,B2=0,G1=0,G2=0; ARWFCM43: B1=0,B2=0,G1=0,G2=8; ARWFCM44: B1=13,B2=0,G1=0,G2=28; ARWFCM45: B1=0,B2=0,G1=0,G2=4; ARWFCM46: B1=0,B2=0,G1=0,G2=0; ARWFCM47: B1=28,B2=0,G1=0,G2=49; ARWFCM48: B1=0,B2=0,G1=0,G2=15; ARWFCM49: B1=0,B2=0,G1=0,G2=0; ARWFCM50: B1=5,B2=0,G1=0,G2=11; ARWFCM51: B1=0,B2=0,G1=0,G2=8","","Wadahi Farms"
"ARJVCM01",2018,"DS","Oyo",8.1574,3.6147,0,0,0,0,13,3.25,0,4,"ARJVCM02: 8.157, 3.615; ARJVCM03: 8.157, 3.615; ARJVCM04: 8.157, 3.615","ARJVCM02: B1=0,B2=0,G1=0,G2=0; ARJVCM03: B1=0,B2=0,G1=0,G2=0; ARJVCM04: B1=0,B2=0,G1=0,G2=13","","John Vent"
"ARKLCM0001",2018,"NGS","Adamawa",9.3265,12.3984,0,0,0,13,162,27,20,27,"ARKLCM0002: 9.326, 12.398; ARKLCM0003: 9.326, 12.398; ARKLCM0004: 9.326, 12.398; ARKLCM0005: 9.326, 12.398; ARKLCM0006: 9.326, 12.398; ARKLCM0007: 9.326, 12.398; ARKLCM0008: 9.326, 12.398; ARKLCM0009: 9.326, 12.398; ARKLCM0010: 9.326, 12.398; ARKLCM0011: 9.326, 12.398; ARKLCM0012: 9.326, 12.398; ARKLCM0013: 9.326, 12.398; ARKLCM0014: 9.326, 12.398; ARKLCM0015: 9.326, 12.398; ARKLCM0016: 9.326, 12.398; ARKLCM0017: 9.326, 12.398; ARKLCM0018: 9.326, 12.398; ARKLCM0019: 9.326, 12.398; ARKLCM0020: 9.326, 12.398; ARKLCM0021: 9.326, 12.398; ARKLCM0022: 9.326, 12.398; ARKLCM0023: 9.326, 12.398; ARKLCM0024: 9.326, 12.398; ARKLCM0025: 9.326, 12.398; ARKLCM0026: 9.326, 12.398; ARKLCM0027: 9.326, 12.398","ARKLCM0002: B1=0,B2=0,G1=0,G2=16; ARKLCM0003: B1=0,B2=0,G1=0,G2=16; ARKLCM0004: B1=0,B2=0,G1=0,G2=0; ARKLCM0005: B1=0,B2=0,G1=0,G2=29; ARKLCM0006: B1=0,B2=0,G1=0,G2=0; ARKLCM0007: B1=0,B2=0,G1=0,G2=37; ARKLCM0008: B1=0,B2=0,G1=0,G2=15; ARKLCM0009: B1=0,B2=0,G1=0,G2=10; ARKLCM0010: B1=0,B2=0,G1=0,G2=35; ARKLCM0011: B1=0,B2=0,G1=0,G2=23; ARKLCM0012: B1=0,B2=0,G1=0,G2=0; ARKLCM0013: B1=0,B2=0,G1=0,G2=9; ARKLCM0014: B1=10,B2=0,G1=0,G2=17; ARKLCM0015: B1=11,B2=0,G1=0,G2=24; ARKLCM0016: B1=6,B2=0,G1=0,G2=25; ARKLCM0017: B1=15,B2=30,G1=10,G2=107; ARKLCM0018: B1=10,B2=0,G1=0,G2=22; ARKLCM0019: B1=10,B2=0,G1=0,G2=17; ARKLCM0020: B1=8,B2=0,G1=0,G2=13; ARKLCM0021: B1=0,B2=0,G1=0,G2=9; ARKLCM0022: B1=0,B2=0,G1=0,G2=18; ARKLCM0023: B1=26,B2=0,G1=0,G2=45; ARKLCM0024: B1=0,B2=0,G1=0,G2=16; ARKLCM0025: B1=0,B2=0,G1=0,G2=20; ARKLCM0026: B1=0,B2=0,G1=0,G2=17; ARKLCM0027: B1=0,B2=0,G1=0,G2=40","","Kawonlambu Farm Produce"
"Babana1",2024,"SGS","Niger",10.4366,3.8172,48.43,2.9,0,0.21,51.55,39.24,51.14,6,"Babana1: 10.437, 3.817; Babana2: 10.437, 3.817; Babana2: 10.437, 3.817; Babana3: 10.437, 3.817; Babana3: 10.437, 3.817","Babana1: B1=48.43,B2=2.9,G1=0,G2=0.21; Babana2: B1=47.51,B2=3.1,G1=0,G2=0.51; Babana2: B1=47.51,B2=3.1,G1=0,G2=0.51; Babana3: B1=14.01,B2=0.62,G1=0.39,G2=0; Babana3: B1=14.01,B2=0.62,G1=0.39,G2=0","Farm",""
"Kotongora1",2024,"SGS","Niger",10.41,5.16,1.62,0.09,0.41,0,2.14,1.16333333333333,1.35,3,"Kotongora2: 10.41, 5.16; Kotongora3: 10.41, 5.16","Kotongora2: B1=0,B2=0,G1=0,G2=0; Kotongora3: B1=1.35,B2=0,G1=0,G2=0","Farm",""
"Toro1",2024,"NGS","Bauchi",10.44,9.22,0.27,0,0,0.16,14.32,6.75333333333333,5.5,3,"Toro2: 10.44, 9.22; Toro3: 10.44, 9.22","Toro2: B1=4.66,B2=0.09,G1=0.61,G2=0.13; Toro3: B1=11.84,B2=0.15,G1=2.06,G2=0.26","Farm",""
"Sabuwa1",2024,"NGS","Katsina",11.17,7.12,126.56,6.6,4.57,0.13,163.42,114.686666666667,137.87,3,"Sabuwa2: 11.17, 7.12; Sabuwa3: 11.17, 7.12","Sabuwa2: B1=135.79,B2=6.48,G1=20.83,G2=0.31; Sabuwa3: B1=39.62,B2=2.05,G1=0.97,G2=0.1","Farm",""
"Giwa1",2024,"NGS","Kaduna",11.316,7.45,161.95,2.97,5.7,1.27,171.91,64.6366666666667,21.82,3,"Giwa2: 11.316, 7.45; Giwa3: 11.316, 7.45","Giwa2: B1=9.9,B2=1.21,G1=9.42,G2=1.27; Giwa3: B1=0.18,B2=0,G1=0,G2=0","Farm",""
"Maiduguri1",2024,"SS","Borno",11.5,13.09,40.71,2.3,0,0.41,120.64,56.7266666666667,43.44,3,"Maiduguri2: 11.5, 13.09; Maiduguri3: 11.5, 13.09","Maiduguri2: B1=110.65,B2=9.17,G1=0,G2=0.81; Maiduguri3: B1=5.63,B2=0.45,G1=0,G2=0","Farm",""
